游戏名称,价格,好评率,好评人数,平均游玩时长,标签,所属主类
Pichon,¥ 18.00,87%,47,4.4h,"精确平台, 横向滚屏, 平台解谜, 2D 平台, 休闲, 角色动作, 平台游戏, 类魂系列, 街机, 2D, 可爱, 欢乐, 地下, 动作, 像素图形, 卡通风格, 彩色, 线性, 竞分, 阖家",动作类; 休闲类
Fabulous Food Truck,¥ 15.00,64%,14,5.4h,"休闲, 模拟, 烹饪",模拟类; 休闲类
Wrong Dimension - The One Dimensional Platformer,¥ 15.00,3 篇用户评测,3,1.6h,"独立, 休闲, 平台游戏",动作类; 休闲类
Always Higher,¥ 18.00,7 篇用户评测,7,1.5h,"动作, 冒险, 独立, 虚拟现实",动作类; 冒险类
"Gabriel Knight® 3: Blood of the Sacred, Blood of the Damned",¥ 0.00,60%,81,6.6h,"冒险, 指向点击, 悬疑, 90 年代, 经典, 剧情丰富, 第三人称, 推理, 解谜, 吸血鬼",冒险类; 解谜类
Rise,¥ 100.00,,,0.7h,"独立, 休闲",休闲类
1 Moment Of Time: Silentville,¥ 4.20,77%,588,10.2h,"冒险, 隐藏物体, 独立, 指向点击, 解谜, 休闲, 悬疑, 调查",冒险类; 解谜类; 休闲类
The Spirit of Twelve,¥ 0.00,,,,"角色扮演, 独立, 冒险, RPG 制作大师",冒险类; 角色扮演类
Pixelscape: Oceans,¥ 6.00,83%,54,10.6h,"休闲, 模拟, 水底",模拟类; 休闲类
G Prime,¥ 36.00,1 篇用户评测,1,6.6h,"独立, 模拟, 太空, 解谜, 蒸汽朋克, 物理",模拟类; 解谜类
Blortasia,¥ 28.00,88%,45,1.6h,"独立, 休闲, 虚拟现实",休闲类
Mervils: A VR Adventure,¥ 68.00,87%,62,1.2h,"冒险, 角色扮演, 虚拟现实, 平台游戏, 解谜, 平台解谜",动作类; 冒险类; 角色扮演类; 解谜类
D.N.Age,¥ 22.00,52%,67,4.9h,"休闲, 角色扮演, 独立, 策略, 动漫, 日系角色扮演, 冒险, 奇幻, 女性主角, 可爱, 单人, 氛围, 重玩价值, 2D, 战术, 快节奏, 探索, 网络梗, 彩色, 试验性",射击类; 冒险类; 角色扮演类; 策略类; 休闲类
GravPool,¥ 18.00,1 篇用户评测,1,1.1h,"体育, 独立, 休闲, 虚拟现实",体育类; 休闲类
Project Hovercraft,¥ 48.00,无用户评测,,1.4h,"休闲, 动作, 独立",动作类; 休闲类
Crystal Quest Classic,¥ 22.00,87%,33,7.5h,"动作, 策略, 经典, 街机, 2D",动作类; 策略类
Agent Walker: Secret Journey,¥ 58.00,69%,150,4.4h,"休闲, 冒险, 隐藏物体, 指向点击, 女性主角, 解谜, 奇幻, 单人, 悬疑, 2D, 阖家, 剧情丰富, 恐怖, 独立, 好评原声音轨, 氛围",冒险类; 解谜类; 休闲类
Sapper's bad dream,¥ 18.00,54%,11,3.9h,"不可思议迷宫, 采矿, 恐怖, 动作, 悬疑, 独立, 心理恐怖, 迷宫探索, 冒险, 潜行, 第一人称, 破坏, 僵尸, 解谜, 街机, 生存, 第一人称射击, 生存恐怖, 恶魔, 氛围",动作类; 射击类; 冒险类; 解谜类
Trick & Treat,免费开玩,96%,"2,403",5.0h,"免费开玩, RPG 制作大师, 像素图形, 恐怖, 冒险, 独立, 休闲, 角色扮演, 动漫, 解谜, 可爱, 女性主角, 欢乐, 心理恐怖, 短篇, 单人, 2D, 动作",动作类; 冒险类; 角色扮演类; 解谜类; 休闲类
Line/Dash,¥ 11.00,73%,30,4.7h,"独立, 动作, 单人, 街机, 2D",动作类
Plates,¥ 6.00,78%,46,0.9h,"独立, 休闲, 解谜",解谜类; 休闲类
安全第一,¥ 15.00,87%,182,3.8h,"独立, 休闲, 模拟, 体育, 解谜, 困难, 色情内容, 物理, 欢乐, 裸露",模拟类; 体育类; 解谜类; 休闲类
Holobunnies: Pause Cafe,¥ 22.00,70%,10,4.5h,"动作, 冒险, 独立, 平台游戏",动作类; 冒险类
Funfair Ride Simulator 3,¥ 26.00,62%,80,6.7h,模拟,模拟类
Recursed,¥ 33.00,97%,606,6.0h,"独立, 解谜, 2D, 困难, 平台解谜, 冒险, 好评原声音轨, 像素图形, 女性主角, 阖家, 平台游戏",动作类; 冒险类; 解谜类
The Wardrobe - Even Better Edition,¥ 48.00,80%,555,4.7h,"独立, 冒险, 喜剧, 2D, 指向点击, 单人, 手绘, 第三人称, 恐怖, 欢乐, 解谜, 剧情丰富, 卡通, 非主流经典, 90 年代, 彩色, 氛围, 复古, 好评原声音轨, 奇幻",冒险类; 解谜类
Ayumi: Enhanced Edition,¥ 17.64,100%,10,3.9h,"冒险, 恐怖, 太空, RPG 制作大师, 洛夫克拉夫特式, 生存恐怖",冒险类
Golden Krone Hotel,¥ 36.00,95%,306,4.8h,"传统类 Rogue, 回合制, 类 Rogue, 迷宫探索, 永久死亡, 吸血鬼, 困难, 像素图形, 哥特, 恐怖, 策略, 冒险, 程序生成, 角色扮演, 电脑角色扮演, 独立, 单人, 回合制战斗, 复古, 回合战略",冒险类; 角色扮演类; 策略类
Quanero VR,免费,89%,354,3.3h,"免费开玩, 虚拟现实, 赛博朋克",
8-Bit Hordes,¥ 58.00,81%,476,4.7h,"策略, 独立, 即时战略, 模拟, 像素图形, 多人, 体素, 奇幻, 建造, 沙盒, 恐怖",冒险类; 模拟类; 策略类
超级素描罗伯特,¥ 42.00,100%,11,4.7h,"2D 平台, 平台解谜, 可爱, 彩色, 阖家, 冒险, 控制器, 卡通风格, 独立, 竞分, 动作, 平台游戏, 解谜, 单人, 线性, 2D, 模拟, 欢乐, 探索, 角色自定义",动作类; 冒险类; 模拟类; 解谜类
Doodle WHAT?!,¥ 36.00,41%,12,4.8h,"独立, 休闲, 策略",策略类; 休闲类
Zezenia Online,免费开玩,68%,331,8.0h,"大型多人在线角色扮演, 玩家对战, 玩家对战环境, 2D, 像素图形, 等角视角, 俯视, 电脑角色扮演, 探索, 砍杀, 动作角色扮演, 动作冒险, 角色扮演, 龙, 开放世界, 动作, 奇幻, 刷宝, 女性主角, 魔法",动作类; 冒险类; 角色扮演类
Destiny of Ancient Kingdoms™,免费开玩,52%,186,13.2h,"免费开玩, 大型多人在线, 角色扮演, 动作, 冒险, 裸露, 策略, 大型多人在线角色扮演, 动漫",动作类; 冒险类; 角色扮演类; 策略类
GOD'S GIFT,¥ 48.00,100%,14,2.9h,"策略, 解谜, 平台解谜, 2D, 像素图形, 黑色幽默, 恶魔, 反乌托邦, 恐怖, 旅鼠, 独立, 血腥, 暴力, 洛夫克拉夫特式, 科幻, 灵异, 关卡编辑, 单人",冒险类; 策略类; 解谜类
Barnyard Mahjong 3,¥ 11.00,75%,12,6.4h,"休闲, 解谜, 麻将",解谜类; 休闲类
The Hidden Dragon,¥ 4.50,5 篇用户评测,5,3.9h,"休闲, 隐藏物体, 解谜, 阖家",解谜类; 休闲类
Mystery Of Rivenhallows,¥ 15.00,35%,17,5.0h,"冒险, 休闲, 指向点击",冒险类; 解谜类; 休闲类
Dragon Rage,¥ 28.00,75%,129,2.2h,"独立, 可爱, 龙, 欢乐, 卡通, 街机, 卡通风格, 风格化, 清版动作, 试验性, 漫画, 奇幻, 2D, 休闲, 动作, 阖家, 手绘, 角色动作, 彩色, 破坏",动作类; 休闲类
Batman - The Telltale Series,¥ 50.00,87%,"14,604",10.5h,"选择取向, 剧情丰富, 冒险, 超级英雄, 单人, 剧集, 快速反应事件, 指向点击, 动作, 氛围, 黑暗, 自选历险体验, 漫画, 推理, 黑色, 暴力, 视觉小说, 血腥, 成人, 隐藏物体",动作类; 冒险类; 解谜类
Cats are Liquid - A Light in the Shadows,¥ 6.00,93%,627,2.9h,"独立, 冒险, 2D, 平台游戏, 猫, 可爱, 剧情丰富, 心理恐怖, 单人, 休闲, 氛围, 女性主角",动作类; 冒险类; 休闲类
Jurassic Survival,¥ 34.00,30%,10,2.1h,"冒险, 独立, 模拟, 生存, 恐龙",冒险类; 模拟类
Trolley Gold,¥ 11.00,5 篇用户评测,5,4.2h,"休闲, 独立",休闲类
Shards of Azuria,¥ 32.00,62%,78,2.8h,"冒险, 角色扮演, 独立, 制作, 动作, 沙盒, 生存, 像素图形, 建造, 2D, 探索, 动作角色扮演, 等角视角",动作类; 冒险类; 角色扮演类; 模拟类
Basketball Court VR,¥ 6.00,4 篇用户评测,4,1.8h,"独立, 休闲, 体育, 虚拟现实",体育类; 休闲类
Puzzle Nebula,¥ 15.00,1 篇用户评测,1,46.2h,"独立, 休闲, 解谜",解谜类; 休闲类
AquaNimble,¥ 36.00,6 篇用户评测,6,4.2h,"动作, 独立, 清版射击, 像素图形, 射击, 合作, 复古, 单人, 重玩价值, 好评原声音轨, 街机, 竞分, 控制器, 弹幕射击",动作类; 射击类
A Week of Circus Terror,¥ 21.00,57%,14,15.9h,"独立, 恐怖, 指向点击",冒险类; 解谜类
Abduction Prologue: The Story Of Jonathan Blake,¥ 11.00,23%,13,1.2h,"暴力, 动作, 冒险, 独立, 模拟, 策略, 虚拟现实",动作类; 冒险类; 模拟类; 策略类
Switch 'N' Shoot - 一键异形终结者,¥ 18.00,96%,128,3.7h,"清版射击, 竞分, 街机, 弹幕射击, 永久死亡, 困难, 休闲, 射击, 复古, 2D, 极简主义, 单人, 像素图形, 快节奏, 阖家, 老式, 独立, 科幻, 太空, 动作",动作类; 射击类; 休闲类
I Am The Hero,¥ 36.00,81%,491,3.5h,"动作, 独立, 冒险, 清版动作, 像素图形, 角色扮演, 格斗, 2D, 合作, 横向滚屏, 本地合作",动作类; 冒险类; 角色扮演类
DreamLand,免费,60%,70,6.7h,"角色扮演, 虚拟现实",角色扮演类
ASRECorp,¥ 6.00,38%,18,4.2h,"动作, 冒险, 独立, 好评原声音轨, 第一人称, 科幻, 射击, 欢乐, 氛围, 单人, 生存, 战争, 战争游戏, 太空, 选择取向, 风格化, 自选历险体验, 动作冒险",动作类; 射击类; 冒险类
Extreme Forklifting 2,¥ 11.00,88%,143,5.6h,"汽车模拟, 模拟, 竞速",模拟类; 竞速类
MSI Electric City,免费,73%,142,5.3h,"免费开玩, 休闲, 冒险, 虚拟现实, 模拟",冒险类; 模拟类; 休闲类
Red Planet: Survive,¥ 48.00,21%,19,2.6h,"冒险, 抢先体验, 动作, 开放世界生存制作, 生存, 基地建设, 模拟, 太空, 科幻, 氛围, 单人, 沙盒, 探索, 第一人称, 建造, 独立, 开放世界, 制作, 资源管理, 太空模拟",动作类; 冒险类; 模拟类
The Shadowland,¥ 30.00,62%,80,4.9h,"类银河战士恶魔城, 平台解谜, 2D 平台, 类魂系列, 困难, 平台游戏, 动作冒险, 2D, 恐怖, 可爱, 开放世界, 彩色, 黑暗奇幻, 手绘, 氛围, 情感, 冒险, 复古, 单人, 独立",动作类; 冒险类
Mind Spheres,¥ 3.00,83%,296,4.4h,"解谜, 物理, 体育, 精确平台, 休闲, 平台解谜, 独立, 动作, 模拟, 单人, 短篇, 平台游戏, 策略, 塔防, 2D, 彩色, 太空, 科幻, 放松, 横向滚屏",动作类; 模拟类; 策略类; 体育类; 解谜类; 休闲类
Inklings,免费开玩,82%,28,20.2h,"独立, 策略, 动作, 休闲, 免费开玩, 2D, 阖家, 旅鼠, 单人, 平台游戏, 解谜, 困难, 平台解谜",动作类; 策略类; 解谜类; 休闲类
The Ember Saga: A New Fire,¥ 6.00,40%,10,5.9h,"角色扮演, 抢先体验, 冒险, 独立, 动作, RPG 制作大师",动作类; 冒险类; 角色扮演类
Mushroom Crusher Extreme,¥ 31.00,85%,14,3.7h,,
In The Shadow Of The Truth,¥ 21.00,58%,12,4.3h,"独立, 冒险, 解谜, 恐怖",冒险类; 解谜类
Mustache in Hell,¥ 15.00,95%,44,4.5h,"动作, 独立, 冒险, 弹幕射击, 困难, 像素图形, 复古, 探索, 短篇, 动作冒险, 欢乐, 氛围, 竞技场射击, 控制器, 不可思议迷宫, 俯视射击, 重玩价值, 双摇杆射击",动作类; 冒险类
Way of Redemption,¥ 28.00,8 篇用户评测,8,4.8h,"独立, 体育, 动作, 多人, 4 人本地, 本地多人, 本地合作",动作类; 体育类
"Ortus Arena, strategy board game online, FOR FREE",免费,59%,52,8.3h,"棋盘游戏, 策略, 独立, 休闲, 桌上游戏, 抽象, 战术, 资源管理, 免费开玩",射击类; 策略类; 休闲类
"WarBirds Dawn of Aces, World War I Air Combat",¥ 46.00,54%,11,2.8h,"模拟, 动作, 大型多人在线, 一战",动作类; 模拟类
DUO,¥ 34.00,72%,37,1.1h,"休闲, 体育, 动作, 独立, 虚拟现实",动作类; 体育类; 休闲类
Balloon Chair Death Match,¥ 18.00,9 篇用户评测,9,1.8h,"动作, 虚拟现实",动作类
Dark Parables: The Exiled Prince Collector's Edition,¥ 38.00,86%,75,4.5h,"休闲, 冒险, 隐藏物体",冒险类; 解谜类; 休闲类
Dark Parables: Rise of the Snow Queen Collector's Edition,¥ 38.00,92%,52,3.9h,"休闲, 冒险, 隐藏物体",冒险类; 解谜类; 休闲类
Dark Parables: The Red Riding Hood Sisters Collector's Edition,¥ 38.00,89%,49,4.3h,"休闲, 冒险, 隐藏物体",冒险类; 解谜类; 休闲类
沉星之序,¥ 0.00,,,,"冒险, 解谜, 推箱子, 探索, 3D, 俯视, 奇幻, 科幻, 控制器, 动态旁白, 非线性, 开放世界, 剧情丰富, 时空操控, 单人",冒险类; 解谜类
Operator Overload,¥ 42.00,93%,16,2.2h,"休闲, 独立, 解谜",解谜类; 休闲类
"Braid, Anniversary Edition",¥ 76.00,93%,"1,613",4.4h,"平台解谜, 2D 平台, 解谜, 平台游戏, 动作冒险, 2D, 时空操控, 动作, 记叙, 休闲, 卡通风格, 彩色, 手绘, 游戏开发, 逻辑, 时空旅行, 氛围, 情感, 编程, 冒险",动作类; 冒险类; 解谜类; 休闲类
Road Rage,¥ 37.00,34%,66,5.6h,"动作, 竞速, 暴力, 开放世界, 街机, 战斗竞速, 3D, 第三人称, 自行车, 现代, 摩托车, 复古, 驾驶, 战斗, 玩家对战, 车辆作战, 多人, 单人, 格斗, 心理恐怖",动作类; 冒险类; 竞速类
Lord Mayor,¥ 11.00,54%,11,3.5h,"策略, 独立, 休闲",策略类; 休闲类
SurvHive,¥ 48.00,67%,53,4.1h,"独立, 动作, 抢先体验, 恐怖, 多人, 心理恐怖, 第一人称射击",动作类; 射击类; 冒险类
Turner,免费开玩,90%,86,5.5h,"动作, 独立, 冒险, 解谜, 平台解谜, LGBTQ+, 欲罢不能, 平台游戏",动作类; 冒险类; 解谜类
Tower of Archeos,¥ 52.00,93%,33,6.8h,"策略, 独立, 休闲, 三消, 像素图形, 复古, 2D, 解谜",策略类; 解谜类; 休闲类
Star Fields,¥ 11.00,76%,76,4.2h,"休闲, 独立, 街机",动作类; 休闲类
The Path of Greatest Resistance,¥ 18.00,79%,53,1.1h,"动作, 虚拟现实",动作类
klocki,¥ 12.00,96%,"4,197",2.9h,"放松, 解谜, 休闲, 极简主义, 单人, 仅鼠标, 逻辑, 短篇, 独立, 2D, 抽象, 好评原声音轨, 氛围",解谜类; 休闲类
Tomato Jones,¥ 9.00,81%,345,5.9h,"动作, 冒险, 休闲, 独立, 解谜, 平台游戏, 心理恐怖",动作类; 冒险类; 解谜类; 休闲类
The Turing Test,¥ 92.00,87%,"6,201",5.3h,"解谜, 科幻, 第一人称, 女性主角, 太空, 冒险, 单人, 氛围, 剧情丰富, 好评原声音轨, 人工智能, 短篇, 哲理, 机器人, 心理恐怖, 独立, 悬疑",冒险类; 解谜类
Wake Up,免费,81%,97,7.9h,"独立, 冒险, 虚拟现实, 免费开玩, 好评原声音轨, 单人, 解谜",冒险类; 解谜类
Crystal Control II,¥ 21.00,6 篇用户评测,6,3.8h,"独立, 动作, 竞技, 弹幕射击, 本地多人, 分屏, 玩家对战",动作类
Fourtex Jugo,¥ 22.00,3 篇用户评测,3,3.2h,"休闲, 策略, 独立, 困难, 解谜",策略类; 解谜类; 休闲类
Copter and Sky,¥ 29.00,61%,52,4.0h,"模拟, 动作, 战争, 第一人称, 射击, 战斗, 单人, 大型多人在线, 飞行, 多人, 虚拟现实, 休闲, 独立, 拟真, 本地合作, 指向点击, 免费开玩",动作类; 射击类; 模拟类; 解谜类; 休闲类
Ultimate Booster Experience,¥ 22.00,76%,316,3.2h,"模拟, 虚拟现实, 休闲, 动作, 冒险, 独立, 恐怖, 音乐, 好评原声音轨, 探索, 原声音轨, 开放世界, 竞速",动作类; 冒险类; 模拟类; 竞速类; 休闲类
Medieval Kingdom Wars,¥ 60.00,77%,"2,224",6.2h,"大战略, 即时战略, 中世纪, 基地建设, 城市营造, 策略, 外交, 经济, 动作即时战略, 战争游戏, 即时战术, 沙盒, 教程, 4X, 制作, 战争, 生存, 模拟, 玩家对战环境, 玩家对战",模拟类; 策略类
Redswood VR,¥ 18.00,67%,28,2.8h,"冒险, 独立, 抢先体验, 虚拟现实",冒险类
Aaero,¥ 48.00,92%,320,5.5h,"独立, 动作, 音乐, 节奏, 控制器, 好评原声音轨, 轨道射击, 单人",动作类
Pulse Shift,¥ 34.00,9 篇用户评测,9,4.0h,"独立, 解谜, 第一人称",解谜类
SHINRAI - Broken Beyond Despair,¥ 48.00,91%,125,7.6h,"视觉小说, 推理, 调查, 悬疑, 互动小说, 独立, 冒险, 女性主角, LGBTQ+, 恐怖, 犯罪, 鲜血, 血腥, 剧情丰富, 单人, 惊悚, 解谜, 隐藏物体, 动漫, 卡通",冒险类; 解谜类
未获取到,未获取到价格,,,5.3h,,
Ascension VR,¥ 52.00,55%,18,1.2h,"策略, 独立, 虚拟现实, 卡牌游戏, 牌组构建",策略类
WyVRn: Dragon Flight VR,¥ 32.00,2 篇用户评测,2,4.6h,"动作, 独立, 虚拟现实, 飞行, 龙, 魔法, 僵尸, 蒸汽朋克",动作类
Glider Island,¥ 31.00,87%,33,0.7h,"休闲, 体育, 模拟, 冒险, 竞速, 动作, 虚拟现实, 飞行, 放松, 第一人称, 独立, 拟真",动作类; 冒险类; 模拟类; 体育类; 竞速类; 休闲类
"Gazzel Quest, The Five Magic Stones",¥ 6.00,5 篇用户评测,5,12.4h,"动作, 独立, 清版射击",动作类
Wildlife VR,¥ 15.00,5 篇用户评测,5,0.4h,"休闲, 独立, 虚拟现实",休闲类
Time Gap,免费开玩,69%,224,18.1h,"免费开玩, 隐藏物体, 冒险, 休闲, 三消, 解谜, 奇幻, 悬疑, 架空历史, 指向点击, 风格化, 历史, 时空操控, 单人, 阖家, 独立, 2D, 彩色, 探索, 第一人称",冒险类; 解谜类; 休闲类
Urlaubsflug Simulator – Holiday Flight Simulator,¥ 58.00,58%,115,5.8h,"模拟, 休闲, 飞行, 探索, 第一人称, 物理, 彩色, 拟真, 氛围, 放松, 阖家, 单人, 重玩价值, 汽车模拟, 开放世界, 后末日, 网络梗, 色情内容",冒险类; 模拟类; 竞速类; 休闲类
Firefight,¥ 76.00,85%,300,11.7h,"二战, 策略, 俯视, 战争游戏, 2D, 即时战略, 战术, 即时战术, 战争, 单人, 模拟, 大战略, 军事, 历史, 战斗, 玩家对战, 剧情丰富, 极简主义, 休闲, 多人",射击类; 模拟类; 策略类; 休闲类
Epic Flail,¥ 18.00,6 篇用户评测,6,1.6h,"动作, 独立, 休闲, 冒险, 角色扮演",动作类; 冒险类; 角色扮演类; 休闲类
Ben and Ed - Blood Party,¥ 48.00,88%,"2,251",6.6h,"多人, 僵尸, 暴力, 合作, 动作, 欢乐, 跑酷, 独立, 关卡编辑, 3D 平台, 血腥, 恐怖, 平台游戏, 4 人本地, 单人, 第三人称, 本地多人, 分屏, 喜剧",动作类; 冒险类
Weather Lord: Legendary Hero Collector's Edition,¥ 42.00,66%,12,5.2h,"策略, 休闲",策略类; 休闲类
A Tale of Caos: Overture,¥ 42.00,71%,42,6.9h,"冒险, 独立, 指向点击, 女性主角, 单人, 像素图形, 奇幻, 好评原声音轨, 解谜, 2D, 欢乐, 剧情丰富",冒险类; 解谜类
QUACK ATTACK 1985: TURBO DX EDITION,¥ 6.00,75%,28,3.7h,"街机, 收集马拉松, 80 年代, 像素图形, 复古, 2D, 老式, 迷幻, 动作, 独立, 抽象, 彩色, 氛围, 阖家, 超现实, 竞分, 单人, 飞行, 可爱, 短篇",动作类
Final Fleet,¥ 48.00,63%,11,1.8h,"动作, 独立, 冒险, 射击, 科幻, 虚拟现实, 太空",动作类; 射击类; 冒险类
VRMultigames,¥ 0.00,77%,87,12.3h,"动作, 独立, 体育, 虚拟现实, 休闲, 免费开玩",动作类; 体育类; 休闲类
"UNCORPOREAL - ""Fluffy!""",免费开玩,74%,39,15.2h,"免费开玩, 独立, 虚拟现实, 恐怖",冒险类
SoulHunt,SoulHunt Demo,81%,82,3.3h,"动作, 独立, 抢先体验, 多人, 恐怖",动作类; 冒险类
Fist of Physics,¥ 36.00,75%,37,2.3h,"模拟, 拳击, 动作, 独立, 抢先体验, 体育, 物理, 虚拟现实, 机器人",动作类; 模拟类; 体育类
Take the Cake,¥ 42.00,86%,30,6.0h,"动作, 冒险, 独立",动作类; 冒险类
"Save the Universe, Please!",¥ 15.00,8 篇用户评测,8,1.7h,"冒险, RPG 制作大师, 科幻, 可爱",冒险类
Mahjong Deluxe 2: Astral Planes,¥ 11.00,4 篇用户评测,4,5.2h,"休闲, 解谜, 麻将",解谜类; 休闲类
Kitty Cat: Jigsaw Puzzles,¥ 6.00,92%,148,5.1h,"猫, 休闲, 解谜, 可爱, 心理恐怖",解谜类; 休闲类
Limberjack,免费,60%,35,11.8h,"体育, 模拟, 虚拟现实",模拟类; 体育类
Puppy Dog: Jigsaw Puzzles,¥ 6.00,96%,33,5.2h,"休闲, 解谜, 可爱",解谜类; 休闲类
Jockey Rush,¥ 69.99,94%,17,10.1h,"动作, 竞速, 体育, 策略, 模拟, 独立, 马匹",动作类; 模拟类; 策略类; 体育类; 竞速类
Tormentor❌Punisher,¥ 33.00,92%,301,4.7h,"动作, 独立, 暴力, 双摇杆射击, 血腥, 街机, 本地合作, 女性主角, 好评原声音轨, 恶魔, 困难, 像素图形, 赛博朋克, 外星人, 音乐, 2D, 卡通风格, 卡通, 俯视射击, 电子",动作类
Secret Santa,免费开玩,91%,106,4.9h,"独立, 策略, 像素图形, 潜行",动作类; 策略类
Wild Terra Online,免费开玩,60%,"1,830",13.3h,"大型多人在线, 角色扮演, 沙盒, 生存, 开放世界, 独立, 免费开玩, 等角视角, 冒险, 制作, 建造, 中世纪, 动作, 多人, 大型多人在线角色扮演, 刷宝, 基地建设, 拟真, 探索, 抢先体验",动作类; 冒险类; 角色扮演类; 模拟类
GI Racing 2.0,免费开玩,82%,70,23.2h,"竞速, 抢先体验, 体育, 模拟, 独立",模拟类; 体育类; 竞速类
Enigma Prison,Enigma Prison Beta,,,,"独立, 动作, 解谜, 第一人称, 科幻, 开放世界, 单人, 氛围, 平台解谜, 探索, 冒险, 平台游戏, 太空, 科学, 3D 平台, 重玩价值, 极简主义, 心理, 第一人称射击, 步行模拟",动作类; 射击类; 冒险类; 解谜类
